Sentiment,% of words with sentiment in white reports,% of words with sentiment in non-white reports,relative % difference
Strong,22.57,23.35,-3.34
Active,22.47,21.85,2.76
IAV,20.49,19.91,2.83
Positiv,16.01,16.29,-1.72
Negativ,10.54,11.78,-10.53
Passive,9.29,9.84,-5.59
Virtue,8.57,9.25,-7.35
Ngtv,7.64,8.8,-13.18
PowTot,8.73,8.7,0.34
Pstv,8.34,8.65,-3.58
Space,8.43,7.67,9.02
TimeSpc,5.86,6.81,-13.95
Hostile,5.73,6.3,-9.05
EndsLw,5.27,6.15,-14.31
EnlTot,5.17,5.84,-11.47
SocRel,5.6,5.82,-3.78
HU,6.49,5.66,12.79
Power,5.73,5.17,9.77
Role,5.47,4.59,16.09
DAV,4.48,4.52,-0.88
IndAdj,3.79,4.3,-11.86
Solve,4.35,4.3,1.15
ComForm,3.92,4.28,-8.41
Quality,4.51,4.21,6.65
TranLw,3.79,4.05,-6.42
Ovrst,3.79,4.04,-6.19
Weak,3.33,4.03,-17.37
ABS,3.79,3.96,-4.29
EVAL,3.33,3.63,-8.26
Vice,2.14,3.54,-39.55
Affil,4.25,3.54,16.71
PLACE,2.44,3.33,-26.73
Econ@,2.83,3.32,-14.76
Travel,3.33,3.29,1.2
EnlOth,2.41,3.25,-25.85
PowOth,2.67,3.12,-14.42
SklTOT,2.54,3.01,-15.61
Exert,3.99,2.99,25.06
ECON,2.11,2.71,-22.14
Complet,2.67,2.63,1.5
Quan,2.83,2.59,8.48
PowCon,2.41,2.56,-5.86
Means,2.01,2.5,-19.6
Abs@,1.94,2.42,-19.83
TrnGain,2.08,2.39,-12.97
FormLw,1.65,2.2,-25
SklOth,1.68,2.2,-23.64
WltTot,1.88,2.18,-13.76
EnlGain,2.34,2.15,8.12
Nonadlt,1.88,2.14,-12.15
Work,1.22,2.05,-40.49
Know,1.65,2.04,-19.12
Route,0.92,1.81,-49.17
Object,2.31,1.78,22.94
Exprsv,1.42,1.71,-16.96
Arousal,1.78,1.69,5.06
NatrPro,1.25,1.59,-21.38
DIST,1.78,1.51,15.17
Time@,1.35,1.49,-9.4
WlbTot,1.78,1.48,16.85
COM,1.19,1.37,-13.14
Need,1.81,1.37,24.31
WltOth,1.09,1.35,-19.26
Submit,1.45,1.33,8.28
BodyPt,2.34,1.31,44.02
Goal,1.61,1.21,24.84
Rel,1.38,1.18,14.49
WlbPhys,1.45,1.15,20.69
Fail,0.76,1.14,-33.33
Tool,2.04,1.14,44.12
Doctrin,0.99,1.12,-11.61
PowPt,1.29,1.12,13.18
TrnLoss,1.09,1.1,-0.91
Negate,1.12,1.1,1.79
COLL,0.96,1.04,-7.69
Ritual,0.76,1.03,-26.21
SureLw,0.89,1.03,-13.59
Increas,0.4,1.02,-60.78
DIM,1.12,1.01,9.82
MeansLw,1.32,1.01,23.48
Undrst,1.09,1,8.26
RcTot,1.09,0.97,11.01
Perceiv,0.79,0.96,-17.71
Fall,0.79,0.95,-16.84
Causal,0.92,0.93,-1.08
AffTot,1.55,0.92,40.65
Academ,0.53,0.9,-41.11
PowCoop,0.99,0.82,17.17
AffGain,1.38,0.8,42.03
SV,0.79,0.79,0
Feel,0.82,0.79,3.66
EMOT,0.72,0.77,-6.49
SklPt,0.86,0.76,11.63
WltPt,0.76,0.75,1.32
Vary,0.46,0.74,-37.84
POLIT,0.89,0.72,19.1
Region,0.59,0.71,-16.9
Eval@,0.76,0.7,7.89
Milit,0.99,0.69,30.3
NegAff,0.86,0.67,22.09
RcEthic,0.72,0.64,11.11
RspTot,0.72,0.63,12.5
Finish,0.86,0.63,26.74
POS,0.3,0.58,-48.28
RspOth,0.72,0.58,19.44
Stay,0.66,0.54,18.18
Decreas,0.46,0.52,-11.54
Try,0.46,0.52,-11.54
If,0.63,0.52,17.46
PosAff,0.66,0.51,22.73
PowLoss,0.56,0.5,10.71
Begin,0.3,0.47,-36.17
Legal,0.36,0.47,-23.4
Sky,0.66,0.47,28.79
IPadj,0.26,0.37,-29.73
Persist,0.2,0.33,-39.39
Fetch,0.33,0.33,0
Pain,0.43,0.32,25.58
PowAuPt,0.63,0.32,49.21
BldgPt,0.13,0.29,-55.17
RcEnds,0.33,0.29,12.12
WlbPsyc,0.23,0.24,-4.17
Polit@,0.23,0.23,0
Social,0.07,0.22,-68.18
Pleasur,0.13,0.22,-40.91
EnlPt,0.16,0.21,-23.81
EnlEnds,0.23,0.2,13.04
Rise,0.59,0.2,66.1
Intrj,0.13,0.18,-27.78
FREQ,0.13,0.17,-23.53
ComnObj,0.07,0.14,-50
PowGain,0.13,0.14,-7.14
TIME,0.03,0.12,-75
Ought,0.03,0.1,-70
Name,0.23,0.1,56.52
WltTran,0.03,0.09,-66.67
Anomie,0.07,0.09,-22.22
ArenaLw,0.13,0.09,30.77
ANI,0.03,0.07,-57.14
AffOth,0.13,0.07,46.15
PtLw,0.03,0.06,-50
Aquatic,0.07,0.06,14.29
WlbGain,0.03,0.05,-40
MALE,0.03,0.05,-40
PowEnds,0.07,0.05,28.57
NatObj,0.03,0.04,-25
EnlLoss,0.03,0.03,0
AffPt,0.03,0.03,0
Exch,0.03,0.03,0
WlbPt,0.07,0.03,57.14
RcGain,0.03,0.02,33.33
Think,0.07,0.02,71.43
Our,0.07,0.02,71.43
Land,0.13,0.02,84.62
NUMB,0.03,0.01,66.67
CARD,0.03,0.01,66.67
